hits,locations
100,Lesotho
56,Eswatini
41,South Africa
38,Botswana
23,Namibia
10,Zimbabwe
9,Rwanda
7,Uganda
6,Singapore
6,Oman
6,Bangladesh
6,South Korea
5,Tanzania
5,Philippines
5,Ethiopia
5,Ghana
4,Jamaica
4,Malaysia
4,United Arab Emirates
3,Kenya
3,Nigeria
3,Myanmar (Burma)
2,Cambodia
2,Switzerland
2,Australia
1,United Kingdom
1,Ireland
1,Pakistan
1,Norway
1,Canada
1,New Zealand
1,Denmark
1,Netherlands
1,India
1,Jordan
1,Saudi Arabia
1,United States
1,Egypt
1,Vietnam
1,Sweden
1,Colombia
1,Thailand
1,Indonesia
1,Spain
1,Mexico
1,Germany
1,Italy
1,Turkey
1,France
1,Russia
1,Brazil
NA,North Korea
NA,Christmas Island
NA,Svalbard & Jan Mayen
NA,Palau
NA,Turks & Caicos Islands
NA,San Marino
NA,Caribbean Netherlands
NA,Equatorial Guinea
NA,Greenland
NA,Guernsey
NA,Gibraltar
NA,St. Lucia
NA,Timor-Leste
NA,Brunei
NA,Burundi
NA,Iceland
NA,Mauritius
NA,Curaçao
NA,Togo
NA,Jersey
NA,French Guiana
NA,Mongolia
NA,Zambia
NA,St. Helena
NA,China
NA,Palestine
NA,Guyana
NA,Bahamas
NA,Guinea
NA,Bahrain
NA,Senegal
NA,Madagascar
NA,Sri Lanka
NA,Somalia
NA,Luxembourg
NA,Lebanon
NA,Kuwait
NA,Mali
NA,Hong Kong
NA,Macao
NA,Laos
NA,Qatar
NA,Costa Rica
NA,Cyprus
NA,Kosovo
NA,Malta
NA,Armenia
NA,Honduras
NA,Slovenia
NA,Nepal
NA,Serbia
NA,Azerbaijan
NA,Finland
NA,Cameroon
NA,North Macedonia
NA,Greece
NA,Belgium
NA,Kazakhstan
NA,Portugal
NA,Albania
NA,Puerto Rico
NA,Romania
NA,Syria
NA,Georgia
NA,Hungary
NA,Czechia
NA,Bulgaria
NA,Morocco
NA,Lithuania
NA,Slovakia
NA,Latvia
NA,Austria
NA,Israel
NA,Iraq
NA,Tunisia
NA,Croatia
NA,Guatemala
NA,Panama
NA,Ecuador
NA,Taiwan
NA,Bosnia & Herzegovina
NA,Iran
NA,Chile
NA,Ukraine
NA,El Salvador
NA,Poland
NA,Bolivia
NA,Uruguay
NA,Peru
NA,Dominican Republic
NA,Argentina
NA,Japan
NA,Belarus
NA,Algeria
NA,Venezuela
NA,Aruba
NA,Afghanistan
NA,Angola
NA,Anguilla
NA,Åland Islands
NA,Andorra
NA,American Samoa
NA,Antarctica
NA,French Southern Territories
NA,Antigua & Barbuda
NA,Benin
NA,Burkina Faso
NA,St. Barthélemy
NA,Belize
NA,Bermuda
NA,Barbados
NA,Bhutan
NA,Bouvet Island
NA,Central African Republic
NA,Cocos (Keeling) Islands
NA,Côte d’Ivoire
NA,Congo - Kinshasa
NA,Congo - Brazzaville
NA,Cook Islands
NA,Comoros
NA,Cape Verde
NA,Cuba
NA,Cayman Islands
NA,Djibouti
NA,Dominica
NA,Eritrea
NA,Western Sahara
NA,Estonia
NA,Fiji
NA,Falkland Islands (Islas Malvinas)
NA,Faroe Islands
NA,Micronesia
NA,Gabon
NA,Guadeloupe
NA,Gambia
NA,Guinea-Bissau
NA,Grenada
NA,Guam
NA,Heard & McDonald Islands
NA,Haiti
NA,Isle of Man
NA,British Indian Ocean Territory
NA,Kyrgyzstan
NA,Kiribati
NA,St. Kitts & Nevis
NA,Liberia
NA,Libya
NA,Liechtenstein
NA,St. Martin
NA,Monaco
NA,Moldova
NA,Maldives
NA,Marshall Islands
NA,Montenegro
NA,Northern Mariana Islands
NA,Mozambique
NA,Mauritania
NA,Montserrat
NA,Martinique
NA,Malawi
NA,Mayotte
NA,New Caledonia
NA,Niger
NA,Norfolk Island
NA,Nicaragua
NA,Niue
NA,Nauru
NA,Pitcairn Islands
NA,Papua New Guinea
NA,Paraguay
NA,French Polynesia
NA,Réunion
NA,Sudan
NA,South Georgia & South Sandwich Islands
NA,Solomon Islands
NA,Sierra Leone
NA,St. Pierre & Miquelon
NA,South Sudan
NA,São Tomé & Príncipe
NA,Suriname
NA,Sint Maarten
NA,Seychelles
NA,Chad
NA,Tajikistan
NA,Tokelau
NA,Turkmenistan
NA,Tonga
NA,Trinidad & Tobago
NA,Tuvalu
NA,U.S. Outlying Islands
NA,Uzbekistan
NA,Vatican City
NA,St. Vincent & Grenadines
NA,British Virgin Islands
NA,U.S. Virgin Islands
NA,Vanuatu
NA,Wallis & Futuna
NA,Samoa
NA,Yemen
