design,N,inquiry,estimator,outcome,term,bias,se(bias),power,se(power),n_sims
design_1,100,ATE,estimator,Y,Z,1.0826207718446514,0.036982983771201086,0.262,0.01904307716412418,500
design_2,600,ATE,estimator,Y,Z,1.113724197009196,0.01499921281610038,0.9,0.012464802972021394,500
design_3,1100,ATE,estimator,Y,Z,1.118441001842157,0.01110993539778923,0.994,0.003378840874703288,500
design_4,1600,ATE,estimator,Y,Z,1.1218554091342092,0.00916304287843188,1,0,500
design_5,2100,ATE,estimator,Y,Z,1.1378909745134809,0.007806935592213848,1,0,500
design_6,2600,ATE,estimator,Y,Z,1.1219669173284506,0.0070771408323837375,1,0,500
design_7,3100,ATE,estimator,Y,Z,1.126048503544588,0.006214639012114222,1,0,500
design_8,3600,ATE,estimator,Y,Z,1.1363393534179962,0.00660149504183061,1,0,500
design_9,4100,ATE,estimator,Y,Z,1.1326456823628717,0.004394018575225002,1,0,500
design_10,4600,ATE,estimator,Y,Z,1.135494058682329,0.004990963962467244,1,0,500
design_11,5100,ATE,estimator,Y,Z,1.1224209782920849,0.004729859939551826,1,0,500
design_12,5600,ATE,estimator,Y,Z,1.1229268971403905,0.004732770726160657,1,0,500
design_13,6100,ATE,estimator,Y,Z,1.131269741584328,0.0049833701290108254,1,0,500
design_14,6600,ATE,estimator,Y,Z,1.1296410918637614,0.0043908476977558,1,0,500
design_15,7100,ATE,estimator,Y,Z,1.1327295275202143,0.004515693902642156,1,0,500
design_16,7600,ATE,estimator,Y,Z,1.1229856849681141,0.004179538026218101,1,0,500
design_17,8100,ATE,estimator,Y,Z,1.1274849492700199,0.003769137751884788,1,0,500
design_18,8600,ATE,estimator,Y,Z,1.130334529890648,0.0040841924317425405,1,0,500
design_19,9100,ATE,estimator,Y,Z,1.1261250722109437,0.0037356375057139898,1,0,500
design_20,9600,ATE,estimator,Y,Z,1.1308649132615498,0.003564243464904291,1,0,500
